name,number sold,highest bid,lowest ask
Jordan 11 Retro Gamma Blue,1384,$400,$369
Air Force 1 Low Hong Kong (2018),61,$125,$99
Nike SB Dunk High Soulland FRI.day Part 02,250,$205,$130
Air Max 1 Anniversary Royal (2017 Restock Pair),1022,$210,$135
Air Force 270 Safari,203,$181,$140
adidas Ultra Boost 3.0 Utility Black,652,$135,$140
Nike Vapor Street Flyknit Black,108,$170,$149
Air Max 95 Solar Red (2018),123,$160,$159
Air Force 270 Phantom,411,$250,$185
Jordan 5 Retro Blue Suede,2303,$180,$189
Jordan 11 Retro Low Closing Ceremony,3309,$192,$199
"Jordan 1 Retro All Star 2017 ""Chameleon""",3093,$293,$219
adidas NMD R1 Core Black Lush Red (2015/2017),5131,$255,$250
Jordan 1 Retro Black Toe (2016),2310,$590,$274
Jordan 11 Retro Low Concord,1000,$335,$284
Jordan 14 Retro Ferrari,610,$336,$285
Balenciaga Triple S Black White Red (2018 Reissue),235,"$1,350",$950
Jordan 2 Retro Decon Black,122,$52,$60
adidas EQT Support 93/17 Black White,354,$78,$83
Nike Flyknit Racer Multi-Color 2.0 (2015/2017),937,$80,$90
Air Max 180 Ultramarine (2018),181,$100,$114
"Jordan 6 Retro All Star 2017 ""Chameleon""",2405,$171,$127
adidas Ultra Boost ATR Mid Oreo,493,$125,$145
Foamposite Pro Pure Platinum,596,$194,$169
LeBron 1 Air Zoom Generation Wheat Retro,168,$185,$175
Air Force 1 High Just Don (AF100),775,$207,$195
Jordan 4 Retro Oreo (2015),1422,$200,$208
Jordan 12 Retro Gym Red,1805,$231,$219
Jordan 9 Retro OG (2016),1845,$255,$245
Jordan 12 Retro Chinese New Year,2269,$265,$256
adidas Human Race NMD Pharrell Pale Nude,1767,$470,$420
Air Foamposite One Lunar New Year 2018,139,"$1,190",$519
Nike React Hyperdunk 2017 Flyknit Off-White,1373,$560,$520
Jordan 3 Retro Seoul,114,"$1,576","$1,149"
Jordan 3 Retro True Blue 2016 (GS),133,$100,$107
Air Presto Essential Triple Black,50,$105,$108
Kyrie 3 Finals Gold,251,$190,$120
adidas NMD R1 White Rose (W),1046,$186,$130
Jordan 6 Retro Wheat,780,$161,$132
Jordan 3 Retro Cyber Monday (2016),1589,$145,$132
Kyrie 4 All-Star (2018),389,$155,$135
Jordan 4 Retro Alternate 89,1569,$191,$137
adidas NMD R2 Chinese New Year (2018),319,$200,$145
adidas Ultra Boost 3.0 Parley Night Navy,1739,$180,$149
Air Max 97 Metallic Hematite,93,$155,$160
Jordan 1 Retro High Equality Black History Month (2018),517,$222,$164
adidas Ultra Boost 4.0 Navy Multi-Color,476,$175,$168
Jordan 1 Retro High RE2PECT (Derek Jeter),651,$200,$169
adidas NMD R1 A Ma Maniere x Invincible Cashmere Wool,491,$182,$178
Air More Uptempo Olympic (2016),413,$212,$199
Jordan 13 Retro Black Cat,2925,$250,$200
Air Max 98 Hyperlocal UK,124,$240,$222
